"pub_date","snippet"
"2016-01-03T21:31:18+0000","ryan fitzpatrick threw three fourthquart intercept seal jet loss coupl steeler win ensur wildcard berth pittsburgh"
"2016-01-03T21:57:43+0000","pittsburgh receiv antonio brown finish season 136 recept 1834 yard just short alltim record"
"2016-01-03T21:58:08+0000","thirdquart turnov prove devast giant might coughlin’ final game 12 season team’ coach"
"2016-01-03T22:00:08+0000","guojiang subtitl group bring togeth 70 volunt across countri produc chines subtitl includ presidenti debat"
"2016-01-03T22:02:10+0000","follow taxexempt fixedincom issu schedul price week"
"2016-01-03T22:44:19+0000","movi basi possibl seri dramat year 1990 rap music suspend gritti urban root mainstream accept"
"2016-01-03T22:48:05+0000","28 busi mr brightman found signatur role loutish lovabl teacher play base 2003 hit movi"
"2016-01-03T22:53:26+0000","jess kovarski strike chagallworthi pose onstag violinist kelli halltompkin make music come aliv orchestra pit"
"2016-01-03T22:57:10+0000","feder govern rethink dietari guidelin american ’s fresh debat just make healthi diet"
"2016-01-03T22:57:26+0000","hispan receiv increas network exposur two new comedi show don’t take mani chanc"
"2016-01-03T23:00:27+0000","fair easi monday puzzl herr schouwerwou"
"2016-01-03T23:01:19+0000","ms anderson will also present part film “heart dog” midnight moment seri monday"
"2016-01-03T23:03:54+0000","new book british naturalist write plant awar environ way yet comprehend"
"2016-01-03T23:24:31+0000","afflalo took game’ first shot jumper hit go finish 7 8 3point rang 14 17 field afternoon carmelo anthoni struggl"
"2016-01-03T23:40:52+0000","embrac secular femin gay right cafe bar cosmopolitan citi creat counterpoint isra arabs’ tradit conservat"
"2016-01-03T23:48:22+0000","polic said littl inform disappear plaster sculptur miss kankake counti museum sinc least dec 11"
